protocol,held_source,method,seed,temperature,ece,brier,nll,conformal_coverage,mean_set_size,empty_sets,multi_label_sets,accepted_coverage,accepted_errors,selective_risk,referred_n,normal_coverage,pneumonia_coverage,tuberculosis_coverage
provenance_held_out,latent_L1,GroupDRO,20260817,0.7542239219447568,0.04327763062702944,0.1295564628697025,0.26689242591616824,0.7938940967823663,0.8047884469217127,1541,0,0.5444641499873322,21,0.004885993485342022,3596,0.6903750884642604,0.8782565130260521,0.7527881040892194
provenance_held_out,latent_L1,GroupDRO,20260818,0.7642802576361242,0.046982547724037316,0.13479592924129175,0.28912864942338456,0.7799594628832024,0.7917405624524956,1644,0,0.5418039016974918,21,0.004909983633387904,3617,0.7034677990092003,0.8401803607214429,0.7574349442379182
provenance_held_out,latent_L1,CORAL,20260816,0.8140792118914139,0.048438895406962584,0.14147403321148383,0.31402411058389096,0.7828730681530276,0.7945274892323283,1622,0,0.49442614644033445,28,0.007173968741993386,3991,0.6935598018400566,0.8567134268537074,0.7434944237918215
provenance_held_out,latent_L1,CORAL,20260817,0.7542239219447568,0.04327763062702944,0.1295564628697025,0.26689242591616824,0.7938940967823663,0.8047884469217127,1541,0,0.5444641499873322,21,0.004885993485342022,3596,0.6903750884642604,0.8782565130260521,0.7527881040892194
provenance_held_out,latent_L1,CORAL,20260818,0.7642802576361242,0.046982547724037316,0.13479592924129175,0.28912864942338456,0.7799594628832024,0.7917405624524956,1644,0,0.5418039016974918,21,0.004909983633387904,3617,0.7034677990092003,0.8401803607214429,0.7574349442379182
provenance_held_out,latent_L2,ERM,20260816,0.9906346782599964,0.05409109197528283,0.18517318371137104,0.3764505703498854,0.7072177861280726,0.7346171911695631,1695,0,0.37153593236261157,26,0.010956595027391436,4014,0.7594339622641509,0.9011857707509882,0.6922517279010549
provenance_held_out,latent_L2,ERM,20260817,1.0284013591844738,0.05824825676293156,0.19008879447334517,0.4212168527174034,0.6965711601690935,0.7205260685767966,1785,0,0.36339439486456865,34,0.014648858250754015,4066,0.7342767295597484,0.8932806324110671,0.6831575118224809
provenance_held_out,latent_L2,ERM,20260818,1.0760327054317431,0.06105582206257876,0.19330483272161117,0.417307938142637,0.6878033505558165,0.7084703303585408,1862,0,0.3735713167371223,33,0.013830678960603526,4001,0.7578616352201258,0.8932806324110671,0.6702437249909058
provenance_held_out,latent_L2,SourceBalanced,20260816,1.0446157239642673,0.050556795495347355,0.1553749971418783,0.3264880775985077,0.7112885548770941,0.737278847659308,1678,0,0.4729920150305308,31,0.010261502813637913,3366,0.7830188679245284,0.8853754940711462,0.6949799927246272
provenance_held_out,latent_L2,SourceBalanced,20260817,1.0819309630109157,0.050642240021803404,0.16542110771902813,0.3468493676132791,0.7087834664161579,0.7341474870831376,1698,0,0.4169406607170816,37,0.013894104393541107,3724,0.7484276729559748,0.8814229249011858,0.6962531829756275
provenance_held_out,latent_L2,SourceBalanced,20260818,1.2049295268484903,0.05917921815346655,0.1808693032457151,0.4085125963128776,0.6865508063253484,0.709722874589009,1854,0,0.42852669484891187,48,0.0175374497625137,3650,0.7562893081761006,0.8774703557312253,0.6696980720261914
provenance_held_out,latent_L2,GroupDRO,20260816,0.9906346782599964,0.05409109197528283,0.18517318371137104,0.3764505703498854,0.7072177861280726,0.7346171911695631,1695,0,0.37153593236261157,26,0.010956595027391436,4014,0.7594339622641509,0.9011857707509882,0.6922517279010549
provenance_held_out,latent_L2,GroupDRO,20260817,1.0284013591844738,0.05824825676293156,0.19008879447334517,0.4212168527174034,0.6965711601690935,0.7205260685767966,1785,0,0.36339439486456865,34,0.014648858250754015,4066,0.7342767295597484,0.8932806324110671,0.6831575118224809
provenance_held_out,latent_L2,GroupDRO,20260818,1.0760327054317431,0.06105582206257876,0.19330483272161117,0.417307938142637,0.6878033505558165,0.7084703303585408,1862,0,0.3735713167371223,33,0.013830678960603526,4001,0.7578616352201258,0.8932806324110671,0.6702437249909058
provenance_held_out,latent_L2,CORAL,20260816,0.9906346782599964,0.05409109197528283,0.18517318371137104,0.3764505703498854,0.7072177861280726,0.7346171911695631,1695,0,0.37153593236261157,26,0.010956595027391436,4014,0.7594339622641509,0.9011857707509882,0.6922517279010549
provenance_held_out,latent_L2,CORAL,20260817,1.0284013591844738,0.05824825676293156,0.19008879447334517,0.4212168527174034,0.6965711601690935,0.7205260685767966,1785,0,0.36339439486456865,34,0.014648858250754015,4066,0.7342767295597484,0.8932806324110671,0.6831575118224809
provenance_held_out,latent_L2,CORAL,20260818,1.0760327054317431,0.06105582206257876,0.19330483272161117,0.417307938142637,0.6878033505558165,0.7084703303585408,1862,0,0.3735713167371223,33,0.013830678960603526,4001,0.7578616352201258,0.8932806324110671,0.6702437249909058
