replicate,internal,provenance_held_out,heldout_minus_internal
167,0.9877974117172773,0.9021580024409374,-0.08563940927633995
168,0.9873750417504225,0.9015404483784635,-0.08583459337195898
169,0.993884440144417,0.9004944401092222,-0.09339000003519482
170,0.9872151747931147,0.8994298868132672,-0.08778528797984753
171,0.9925405755393536,0.9040317155090617,-0.0885088600302919
172,0.9917520609537691,0.9041080353242101,-0.08764402562955897
173,0.9895025640091024,0.9028522343040145,-0.0866503297050879
174,0.9889899454244054,0.8992193437323778,-0.08977060169202766
175,0.9923333857300363,0.8997595263971271,-0.09257385933290918
176,0.9918532047953962,0.902774448881979,-0.08907875591341718
177,0.9885554768002692,0.89935344724625,-0.08920202955401924
178,0.9883499658987699,0.9033491943677872,-0.08500077153098273
179,0.9917765524840979,0.8967206044718226,-0.09505594801227535
180,0.9876844319063928,0.8996727718756986,-0.08801166003069416
181,0.9865334979239142,0.9000347224633339,-0.08649877546058027
182,0.993884440144417,0.8950395597665732,-0.09884488037784378
183,0.9931217288214284,0.9024257956583762,-0.09069593316305213
184,0.9924929085603394,0.9036681061981967,-0.08882480236214274
185,0.9924834957348679,0.8990150319504387,-0.09346846378442919
186,0.9954941863629339,0.902709102249133,-0.09278508411380082
187,0.9869306723239308,0.8991082148044415,-0.08782245751948936
188,0.9908955404901069,0.9021022021550197,-0.08879333833508718
189,0.992237885571219,0.8990193419055306,-0.09321854366568838
190,0.9896045626324202,0.9032954327281804,-0.08630912990423989
191,0.9902524356726362,0.9004891749693064,-0.08976326070332985
192,0.9931320752598096,0.9003265682897865,-0.0928055069700231
193,0.9875260818329017,0.8982481750251815,-0.08927790680772019
194,0.9863138345988305,0.8966605417638518,-0.08965329283497869
195,0.993884440144417,0.8978562096259806,-0.09602823051843645
196,0.99252964237904,0.9039076364969266,-0.08862200588211333
197,0.9871287334067805,0.8979763233168273,-0.08915241008995323
198,0.994619494161535,0.901571523116297,-0.09304797104523799
199,0.9923670819227075,0.8979786870884957,-0.0943883948342118
200,0.9934810045089767,0.8994882532555017,-0.09399275125347495
201,0.994782203587235,0.9011103898094669,-0.09367181377776812
202,0.9871951779927496,0.8984856547280646,-0.08870952326468495
203,0.9907428098086254,0.8979549523986874,-0.092787857409938
204,0.989229452481895,0.8997842170346085,-0.08944523544728644
205,0.993765366743372,0.898094474396477,-0.09567089234689496
206,0.991890852350339,0.9010097799049142,-0.09088107244542487
207,0.9939803232063918,0.9037265548023284,-0.0902537684040634
208,0.9840116744990847,0.9017842324803519,-0.08222744201873278
209,0.9938752407383594,0.9002768686141221,-0.09359837212423727
210,0.9942439686961384,0.9011114079221897,-0.09313256077394871
211,0.9910223319492761,0.8985047289437199,-0.09251760300555623
212,0.9889910927933795,0.9025656876967628,-0.08642540509661667
213,0.9883656402019749,0.8992667007070011,-0.08909893949497383
214,0.9926214852377865,0.8982562946971382,-0.09436519054064829
215,0.9931320752598096,0.8997968324076174,-0.09333524285219219
216,0.987751444149668,0.8971141681810431,-0.09063727596862492
217,0.9869721295192919,0.8989685492734144,-0.08800358024587751
218,0.9942381568675788,0.8983612305707128,-0.09587692629686595
219,0.9922398427163758,0.9055399593006624,-0.08669988341571333
220,0.9932717247597164,0.8970978259543746,-0.09617389880534177
221,0.9910486906472245,0.8995953887961115,-0.091453301851113
222,0.9934949606295556,0.9027535402142517,-0.09074142041530386
223,0.9901040229611596,0.9024346269265573,-0.08766939603460233
224,0.994987180328719,0.9032016952075629,-0.09178548512115614
225,0.9900807103925007,0.9011082501935275,-0.0889724601989732
226,0.989348290712199,0.8999543642250195,-0.08939392648717948
227,0.9896151339534911,0.9006595556244293,-0.08895557832906176
228,0.9848115782082288,0.897052417224205,-0.08775916098402381
229,0.991764361923351,0.9034216471312216,-0.0883427147921294
230,0.9939026046796146,0.8989863201403602,-0.09491628453925438
231,0.991788633453182,0.9017913291979074,-0.08999730425527463
232,0.9911498465556569,0.9031229520240794,-0.08802689453157742
233,0.9878675178029624,0.8976771148650388,-0.09019040293792369
234,0.984693295533743,0.898082605358479,-0.08661069017526402
235,0.9852853156822962,0.8981423503689646,-0.08714296531333154
236,0.9905904953508892,0.9020888561135164,-0.08850163923737275
237,0.993884440144417,0.8978342844944854,-0.09605015564993158
238,0.9933011116805166,0.8958904719010365,-0.09741063977948006
239,0.9904761659289995,0.9004118456246303,-0.09006432030436917
240,0.9971231245534651,0.9015605175760134,-0.09556260697745167
241,0.9864543316611144,0.8995335617946245,-0.08692076986648989
242,0.9918627168929622,0.8979533312776876,-0.09390938561527462
243,0.9918339076075996,0.8994219997074738,-0.09241190790012577
244,0.9927607606563175,0.9016768170297541,-0.09108394362656336
245,0.9929937081530099,0.8944263865524932,-0.09856732160051673
246,0.9903584096854158,0.900413838486454,-0.08994457119896182
247,0.9896293036014537,0.90073547065642,-0.08889383294503372
248,0.9911381367809322,0.9012219602914757,-0.08991617648945649
249,0.992632931890913,0.898434155313494,-0.09419877657741893
250,0.9918124698317424,0.9001446317453174,-0.09166783808642498
251,0.9899867032341295,0.899230773854848,-0.09075592937928156
252,0.9844784908645932,0.9014856948434132,-0.08299279602117993
253,0.9862099862099862,0.9008930793147135,-0.08531690689527271
254,0.9931320752598096,0.9033649400286318,-0.08976713523117785
255,0.988718806088686,0.901386275367778,-0.08733253072090796
256,0.988762683131279,0.8972754007884776,-0.09148728234280146
257,0.9911381367809322,0.8992621690880576,-0.09187596769287465
258,0.9900902939677412,0.8961651708256455,-0.09392512314209567
259,0.9924012969246873,0.9000639134693982,-0.09233738345528908
260,0.9875969449809979,0.9014333980227098,-0.0861635469582881
261,0.9924660815044781,0.9012530192338012,-0.09121306227067694
262,0.9903971585598056,0.9030097144804344,-0.08738744407937116
263,0.9918006056370836,0.9005671972345874,-0.09123340840249616
264,0.991869428820244,0.9035932831477845,-0.08827614567245945
265,0.9882429570812765,0.9012159523170317,-0.08702700476424485
266,0.9883003899748006,0.9007429068472659,-0.08755748312753475
267,0.9903465892137122,0.8997257041980032,-0.09062088501570897
268,0.9923333857300363,0.8983846463868354,-0.09394873934320092
269,0.9908682013967572,0.901700430331028,-0.08916777106572926
270,0.9922398427163758,0.9021313241807953,-0.09010851853558044
271,0.991462841939375,0.9004402767035673,-0.09102256523580765
272,0.9840116744990847,0.8983923395587458,-0.08561933494033891
273,0.9931065327154013,0.9008930428155507,-0.09221348989985056
274,0.9968828017990058,0.8994298496296481,-0.09745295216935768
275,0.9962675606605372,0.8999144010345487,-0.09635315962598856
276,0.9903346572327871,0.9037219866108126,-0.08661267062197453
277,0.9903971585598056,0.8992386177587286,-0.09115854080107699
278,0.9889184011546822,0.9000153601916434,-0.0889030409630388
279,0.9900902939677412,0.9006962999032989,-0.08939399406444226
280,0.984915205058861,0.8997969893769288,-0.08511821568193223
281,0.9913470063775761,0.8952624556602112,-0.09608455071736488
282,0.9944896364652501,0.8965994663523865,-0.0978901701128636
283,0.9895104685523847,0.9018581565314019,-0.08765231202098278
284,0.9912718021537842,0.8917543107048886,-0.09951749144889555
285,0.9932271658305573,0.8979606359852369,-0.09526652984532036
286,0.9932617506645598,0.9066519354341281,-0.08660981523043165
287,0.9911498465556569,0.9010044735030845,-0.09014537305257231
288,0.9898484861381731,0.8977859778780598,-0.09206250826011331
289,0.9932617506645598,0.9022005543753425,-0.09106119628921727
290,0.9853080421182865,0.9004379897564085,-0.08487005236187795
291,0.9896902433679827,0.8954555082219352,-0.09423473514604752
292,0.9893777165000834,0.8969251183797412,-0.09245259812034223
293,0.9915106065757892,0.8988064681053461,-0.09270413847044301
294,0.9941422854941947,0.8962365979841754,-0.09790568751001927
295,0.9908460560523057,0.8953296417092375,-0.09551641434306823
296,0.9927448402426832,0.9024254975411599,-0.09031934270152331
297,0.9925514101670272,0.9055469504809777,-0.08700445968604953
298,0.991764361923351,0.900660375608735,-0.09110398631461603
299,0.9869344869344868,0.8978106034393405,-0.08912388349514633
300,0.9911498465556569,0.8978441096966888,-0.09330573685896804
301,0.9895260539408222,0.8970048517630556,-0.0925212021777666
302,0.9881485465609711,0.9001530000318634,-0.08799554652910768
303,0.993281609188967,0.9029886586016325,-0.09029295058733455
304,0.9948905502812767,0.8997652342427646,-0.09512531603851215
305,0.994738969228047,0.9012686336342174,-0.09347033559382967
306,0.9933760925470495,0.8988662770883086,-0.09450981545874093
307,0.9896293036014537,0.8985904301712498,-0.09103887343020389
308,0.993347999905377,0.9022887988147987,-0.0910592010905783
309,0.9927528409805282,0.9021752473797434,-0.09057759360078477
310,0.9879528361536307,0.9012155516970622,-0.08673728445656848
311,0.9895915727014536,0.9033670860095916,-0.086224486691862
312,0.9926518659645595,0.8989670986721215,-0.09368476729243791
313,0.9933929192104024,0.9046671168816869,-0.08872580232871552
